yourlist:M201910296746803381A1F0E0DB47453E0216320D0928A52	Entry	Entry name	Status	Protein names	Gene names	Organism	Length
6576	P53007	TXTP_HUMAN	reviewed	Tricarboxylate transport protein, mitochondrial (Citrate transport protein) (CTP) (Solute carrier family 25 member 1) (Tricarboxylate carrier protein)	SLC25A1 SLC20A3	Homo sapiens (Human)	311
6697	P35270	SPRE_HUMAN	reviewed	Sepiapterin reductase (SPR) (EC 1.1.1.153)	SPR	Homo sapiens (Human)	261
6718	P51857	AK1D1_HUMAN	reviewed	Aldo-keto reductase family 1 member D1 (EC 1.3.1.3) (3-oxo-5-beta-steroid 4-dehydrogenase) (Delta(4)-3-ketosteroid 5-beta-reductase) (Delta(4)-3-oxosteroid 5-beta-reductase)	AKR1D1 SRD5B1	Homo sapiens (Human)	326
6833	Q09428	ABCC8_HUMAN	reviewed	ATP-binding cassette sub-family C member 8 (Sulfonylurea receptor 1)	ABCC8 HRINS SUR SUR1	Homo sapiens (Human)	1581
686	P43251	BTD_HUMAN	reviewed	Biotinidase (Biotinase) (EC 3.5.1.12)	BTD	Homo sapiens (Human)	543
6901	Q16635	TAZ_HUMAN	reviewed	Tafazzin (Protein G4.5)	TAZ EFE2 G4.5	Homo sapiens (Human)	292
6999	P48775	T23O_HUMAN	reviewed	Tryptophan 2,3-dioxygenase (TDO) (EC 1.13.11.11) (Tryptamin 2,3-dioxygenase) (Tryptophan oxygenase) (TO) (TRPO) (Tryptophan pyrrolase) (Tryptophanase)	TDO2 TDO	Homo sapiens (Human)	406
7018	P02787	TRFE_HUMAN	reviewed	Serotransferrin (Transferrin) (Beta-1 metal-binding globulin) (Siderophilin)	TF PRO1400	Homo sapiens (Human)	698
7036	Q9UP52	TFR2_HUMAN	reviewed	Transferrin receptor protein 2 (TfR2)	TFR2	Homo sapiens (Human)	801
7054	P07101	TY3H_HUMAN	reviewed	Tyrosine 3-monooxygenase (EC 1.14.16.2) (Tyrosine 3-hydroxylase) (TH)	TH TYH	Homo sapiens (Human)	528
7084	O00142	KITM_HUMAN	reviewed	Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (Mt-TK)	TK2	Homo sapiens (Human)	265
7156	Q13472	TOP3A_HUMAN	reviewed	DNA topoisomerase 3-alpha (EC 5.6.2.1) (DNA topoisomerase III alpha)	TOP3A TOP3	Homo sapiens (Human)	1001
7274	P49638	TTPA_HUMAN	reviewed	Alpha-tocopherol transfer protein (Alpha-TTP)	TTPA TPP1	Homo sapiens (Human)	278
728294	Q8N465	D2HDH_HUMAN	reviewed	D-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.-)	D2HGDH D2HGD	Homo sapiens (Human)	521
7369	P07911	UROM_HUMAN	reviewed	Uromodulin (Tamm-Horsfall urinary glycoprotein) (THP) [Cleaved into: Uromodulin, secreted form]	UMOD	Homo sapiens (Human)	640
7389	P06132	DCUP_HUMAN	reviewed	Uroporphyrinogen decarboxylase (UPD) (URO-D) (EC 4.1.1.37)	UROD	Homo sapiens (Human)	367
7390	P10746	HEM4_HUMAN	reviewed	Uroporphyrinogen-III synthase (UROIIIS) (UROS) (EC 4.2.1.75) (Hydroxymethylbilane hydrolyase [cyclizing]) (Uroporphyrinogen-III cosynthase)	UROS	Homo sapiens (Human)	265
7809	Q8WZ55	BSND_HUMAN	reviewed	Barttin	BSND BART	Homo sapiens (Human)	320
788	O43772	MCAT_HUMAN	reviewed	Mitochondrial carnitine/acylcarnitine carrier protein (Carnitine/acylcarnitine translocase) (CAC) (Solute carrier family 25 member 20)	SLC25A20 CAC CACT	Homo sapiens (Human)	301
79147	Q9H9S5	FKRP_HUMAN	reviewed	Fukutin-related protein (EC 2.4.2.-) (Ribitol-5-phosphate transferase)	FKRP	Homo sapiens (Human)	495
79152	Q7L5A8	FA2H_HUMAN	reviewed	Fatty acid 2-hydroxylase (EC 1.14.18.-) (Fatty acid alpha-hydroxylase)	FA2H FAAH	Homo sapiens (Human)	372
79158	Q3T906	GNPTA_HUMAN	reviewed	N-acetylglucosamine-1-phosphotransferase subunits alpha/beta (EC 2.7.8.17) (GlcNAc-1-phosphotransferase subunits alpha/beta) (Stealth protein GNPTAB) (UDP-N-acetylglucosamine-1-phosphotransferase subunits alpha/beta) [Cleaved into: N-acetylglucosamine-1-phosphotransferase subunit alpha; N-acetylglucosamine-1-phosphotransferase subunit beta]	GNPTAB GNPTA KIAA1208	Homo sapiens (Human)	1256
79783	Q9HAC7	SUCHY_HUMAN	reviewed	Succinate--hydroxymethylglutarate CoA-transferase (EC 2.8.3.13) (Dermal papilla-derived protein 13) (SuccinylCoA:glutarate-CoA transferase)	SUGCT C7orf10 DERP13	Homo sapiens (Human)	445
79944	Q9H9P8	L2HDH_HUMAN	reviewed	L-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.2) (Duranin)	L2HGDH C14orf160	Homo sapiens (Human)	463
80270	Q9H2F3	3BHS7_HUMAN	reviewed	3 beta-hydroxysteroid dehydrogenase type 7 (3 beta-hydroxysteroid dehydrogenase type VII) (3-beta-HSD VII) (3-beta-hydroxy-Delta(5)-C27 steroid oxidoreductase) (C(27) 3-beta-HSD) (EC 1.1.1.-) (Cholest-5-ene-3-beta,7-alpha-diol 3-beta-dehydrogenase) (EC 1.1.1.181)	HSD3B7	Homo sapiens (Human)	369
8029	O60494	CUBN_HUMAN	reviewed	Cubilin (460 kDa receptor) (Intestinal intrinsic factor receptor) (Intrinsic factor-cobalamin receptor) (Intrinsic factor-vitamin B12 receptor)	CUBN IFCR	Homo sapiens (Human)	3623
80331	Q9H3Z4	DNJC5_HUMAN	reviewed	DnaJ homolog subfamily C member 5 (Ceroid-lipofuscinosis neuronal protein 4) (Cysteine string protein) (CSP)	DNAJC5 CLN4	Homo sapiens (Human)	198
80704	Q9BZV2	S19A3_HUMAN	reviewed	Thiamine transporter 2 (ThTr-2) (ThTr2) (Solute carrier family 19 member 3)	SLC19A3	Homo sapiens (Human)	496
81693	Q9BXJ7	AMNLS_HUMAN	reviewed	Protein amnionless [Cleaved into: Soluble protein amnionless]	AMN UNQ513/PRO1028	Homo sapiens (Human)	453
825	P20807	CAN3_HUMAN	reviewed	Calpain-3 (EC 3.4.22.54) (Calcium-activated neutral proteinase 3) (CANP 3) (Calpain L3) (Calpain p94) (Muscle-specific calcium-activated neutral protease 3) (New calpain 1) (nCL-1)	CAPN3 CANP3 CANPL3 NCL1	Homo sapiens (Human)	821
8291	O75923	DYSF_HUMAN	reviewed	Dysferlin (Dystrophy-associated fer-1-like protein) (Fer-1-like protein 1)	DYSF FER1L1	Homo sapiens (Human)	2080
8398	O60733	PLPL9_HUMAN	reviewed	85/88 kDa calcium-independent phospholipase A2 (CaI-PLA2) (EC 3.1.1.4) (Group VI phospholipase A2) (GVI PLA2) (Intracellular membrane-associated calcium-independent phospholipase A2 beta) (iPLA2-beta) (Patatin-like phospholipase domain-containing protein 9) (PNPLA9)	PLA2G6 PLPLA9	Homo sapiens (Human)	806
84197	Q9H5K3	SG196_HUMAN	reviewed	Protein O-mannose kinase (POMK) (EC 2.7.1.183) (Protein kinase-like protein SgK196) (Sugen kinase 196)	POMK SGK196	Homo sapiens (Human)	350
846	P41180	CASR_HUMAN	reviewed	Extracellular calcium-sensing receptor (CaR) (CaSR) (hCasR) (Parathyroid cell calcium-sensing receptor 1) (PCaR1)	CASR GPRC2A PCAR1	Homo sapiens (Human)	1078
84892	Q8NAT1	PMGT2_HUMAN	reviewed	Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2 (POMGnT2) (EC 2.4.1.312) (Extracellular O-linked N-acetylglucosamine transferase-like) (Glycosyltransferase-like domain-containing protein 2)	POMGNT2 AGO61 C3orf39 EOGTL GTDC2	Homo sapiens (Human)	580
8659	P30038	AL4A1_HUMAN	reviewed	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial (P5C dehydrogenase) (EC 1.2.1.88) (Aldehyde dehydrogenase family 4 member A1) (L-glutamate gamma-semialdehyde dehydrogenase)	ALDH4A1 ALDH4 P5CDH	Homo sapiens (Human)	563
875	P0DN79	CBSL_HUMAN	reviewed	Cystathionine beta-synthase-like protein (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase)	CBSL	Homo sapiens (Human)	551
875	P35520	CBS_HUMAN	reviewed	Cystathionine beta-synthase (EC 4.2.1.22) (Beta-thionase) (Serine sulfhydrase)	CBS	Homo sapiens (Human)	551
8803	Q9P2R7	SUCB1_HUMAN	reviewed	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (ATP-specific succinyl-CoA synthetase subunit beta) (A-SCS) (Succinyl-CoA synthetase beta-A chain) (SCS-betaA)	SUCLA2	Homo sapiens (Human)	463
8813	O60762	DPM1_HUMAN	reviewed	Dolichol-phosphate mannosyltransferase subunit 1 (EC 2.4.1.83) (Dolichol-phosphate mannose synthase subunit 1) (DPM synthase subunit 1) (Dolichyl-phosphate beta-D-mannosyltransferase subunit 1) (Mannose-P-dolichol synthase subunit 1) (MPD synthase subunit 1)	DPM1	Homo sapiens (Human)	260
8818	O94777	DPM2_HUMAN	reviewed	Dolichol phosphate-mannose biosynthesis regulatory protein (Dolichol-phosphate mannose synthase subunit 2) (DPM synthase subunit 2)	DPM2 My026	Homo sapiens (Human)	84
8869	Q9UNP4	SIAT9_HUMAN	reviewed	Lactosylceramide alpha-2,3-sialyltransferase (EC 2.4.99.9) (CMP-NeuAc:lactosylceramide alpha-2,3-sialyltransferase) (Ganglioside GM3 synthase) (ST3Gal V) (ST3GalV) (Sialyltransferase 9)	ST3GAL5 SIAT9 UNQ2510/PRO5998	Homo sapiens (Human)	418
8942	Q16719	KYNU_HUMAN	reviewed	Kynureninase (EC 3.7.1.3) (L-kynurenine hydrolase)	KYNU	Homo sapiens (Human)	465
9056	Q9UM01	YLAT1_HUMAN	reviewed	Y+L amino acid transporter 1 (Monocyte amino acid permease 2) (MOP-2) (Solute carrier family 7 member 7) (y(+)L-type amino acid transporter 1) (Y+LAT1) (y+LAT-1)	SLC7A7	Homo sapiens (Human)	511
93183	Q9H3S5	PIGM_HUMAN	reviewed	GPI mannosyltransferase 1 (EC 2.4.1.-) (GPI mannosyltransferase I) (GPI-MT-I) (Phosphatidylinositol-glycan biosynthesis class M protein) (PIG-M)	PIGM	Homo sapiens (Human)	423
9382	Q8WTW3	COG1_HUMAN	reviewed	Conserved oligomeric Golgi complex subunit 1 (COG complex subunit 1) (Component of oligomeric Golgi complex 1)	COG1 KIAA1381 LDLB	Homo sapiens (Human)	980
